Gene Subset,Insights
"IDH1, PAM, ATP1B1, MGST3, GATA3","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in detoxification processes.; Important in T-cell development and some epithelial cells."
"IDH1, PAM, ATP1B1, MGST3, LCN2","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in detoxification processes.; Involved in innate immunity and iron transport. Associated with inflammation and certain cancers."
"IDH1, PAM, ATP1B1, MGST3, EHF","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in detoxification processes.; Transcription factor with roles in epithelial differentiation."
"IDH1, PAM, ATP1B1, MGST3, DSTN","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in detoxification processes.; Involved in actin depolymerization."
"IDH1, PAM, ATP1B1, MGST3, SDC4","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in detoxification processes.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, PAM, ATP1B1, MGST3, WFDC2","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in detoxification processes.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, PAM, ATP1B1, GATA3, LCN2","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Important in T-cell development and some epithelial cells.; Involved in innate immunity and iron transport. Associated with inflammation and certain cancers."
"IDH1, PAM, ATP1B1, GATA3, EHF","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Important in T-cell development and some epithelial cells.; Transcription factor with roles in epithelial differentiation."
"IDH1, PAM, ATP1B1, GATA3, DSTN","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Important in T-cell development and some epithelial cells.; Involved in actin depolymerization."
"IDH1, PAM, ATP1B1, GATA3, SDC4","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Important in T-cell development and some epithelial cells.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, PAM, ATP1B1, GATA3, WFDC2","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Important in T-cell development and some epithelial cells.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, PAM, ATP1B1, LCN2, EHF","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in innate immunity and iron transport. Associated with inflammation and certain cancers.; Transcription factor with roles in epithelial differentiation."
"IDH1, PAM, ATP1B1, LCN2, DSTN","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in innate immunity and iron transport. Associated with inflammation and certain cancers.; Involved in actin depolymerization."
"IDH1, PAM, ATP1B1, LCN2, SDC4","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in innate immunity and iron transport. Associated with inflammation and certain cancers.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, PAM, ATP1B1, LCN2, WFDC2","Often found mutated in certain cancers.; Important for neuroendocrine system.; Part of the sodium-potassium pump, widespread expression.; Involved in innate immunity and iron transport. Associated with inflammation and certain cancers.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
